nom_scientifique,nom_commun
Theropithecus gelada,Gelada baboon
Mellivora capensis,Honey badger
Macropus fuliginosus,"Kangaroo, black-faced"
Recurvirostra avosetta,Pied avocet
Gyps bengalensis,Bengal vulture
Xerus sp.,African ground squirrel (unidentified)
Eumetopias jubatus,Steller's sea lion
Felis silvestris lybica,"Cat, african wild"
Echimys chrysurus,White-faced tree rat
Psophia viridis,Green-winged trumpeter
Herpestes javanicus,Javan gold-spotted mongoose
Semnopithecus entellus,"Langur, hanuman"
Macropus robustus,"Wallaby, euro"
Gabianus pacificus,Pacific gull
Loxodonta africana,"Elephant, african"
Fregata magnificans,"Bird, magnificent frigate"
Anas bahamensis,"Pintail, bahama"
Sciurus vulgaris,"Squirrel, european red"
Falco peregrinus,"Falcon, peregrine"
Corvus brachyrhynchos,American crow
Myotis lucifugus,Little brown bat
Acridotheres tristis,Common mynah
Hippotragus equinus,"Antelope, roan"
Haliaeetus leucocephalus,Bald eagle
Varanus sp.,Monitor lizard (unidentified)
Gazella granti,Grant's gazelle
Cracticus nigroagularis,"Bird, pied butcher"
Trachyphonus vaillantii,Crested barbet
Gyps bengalensis,White-rumped vulture
Cacatua tenuirostris,"Corella, long-billed"
Larus fuliginosus,"Gull, dusky"
Paradoxurus hermaphroditus,Common palm civet
Mellivora capensis,Honey badger
Paraxerus cepapi,"Squirrel, grey-footed"
Stercorarius longicausus,Long-tailed skua
Manouria emys,"Tortoise, burmese brown mountain"
Antilope cervicapra,Blackbuck
Anathana ellioti,"Shrew, mandras tree"
Butorides striatus,"Heron, green-backed"
Aquila chrysaetos,Golden eagle
Nycticorax nycticorax,Black-crowned night heron
Otocyon megalotis,Bat-eared fox
Haliaetus leucogaster,"Eagle, white-bellied sea"
Varanus salvator,"Monitor, two-banded"
Gymnorhina tibicen,Black-backed magpie
Papio cynocephalus,"Baboon, yellow"
Chlamydosaurus kingii,"Dragon, frilled"
Bettongia penicillata,Brush-tailed bettong
unavailable,South American meadowlark (unidentified)
Gymnorhina tibicen,"Magpie, black-backed"
Mustela nigripes,Black-footed ferret
Mazama gouazoubira,Savannah deer
Sterna paradisaea,"Tern, arctic"
Papio cynocephalus,"Baboon, yellow"
Hippotragus niger,Sable antelope
Tadorna tadorna,Common shelduck
Corvus brachyrhynchos,American crow
Dasypus novemcinctus,Common long-nosed armadillo
Gabianus pacificus,"Gull, pacific"
Vulpes chama,"Fox, silver-backed"
Ictalurus furcatus,Blue catfish
Hymenolaimus malacorhynchus,"Duck, blue"
Macropus agilis,River wallaby
Spermophilus richardsonii,Richardson's ground squirrel
Varanus salvator,Water monitor
Limosa haemastica,Hudsonian godwit
Francolinus leucoscepus,Yellow-necked spurfowl
Buteo galapagoensis,Galapagos hawk
Anser caerulescens,Snow goose
Tamiasciurus hudsonicus,Red squirrel
Connochaetus taurinus,"Gnu, brindled"
Panthera onca,Jaguar
Neotis denhami,"Bustard, denham's"
Hippotragus equinus,"Antelope, roan"
Varanus salvator,Two-banded monitor
Acridotheres tristis,"Mynah, indian"
Castor canadensis,"Beaver, north american"
Geococcyx californianus,Greater roadrunner
Carduelis uropygialis,"Siskin, yellow-rumped"
Geochelone elegans,Indian star tortoise
Aegypius occipitalis,White-headed vulture
Pterocles gutturalis,"Sandgrouse, yellow-throated"
unavailable,Hummingbird (unidentified)
Nycticorax nycticorax,"Heron, black-crowned night"
Sciurus vulgaris,"Squirrel, european red"
Merops nubicus,"Bee-eater, carmine"
Ictonyx striatus,African polecat
Ardea cinerea,Gray heron
Phascogale calura,"Phascogale, red-tailed"
Chauna torquata,"Screamer, crested"
Petaurus breviceps,Sugar glider
Ramphastos tucanus,"Toucan, red-billed"
Papio cynocephalus,Yellow baboon
Meles meles,"Badger, eurasian"
Coracias caudata,"Roller, lilac-breasted"
Macropus eugenii,"Wallaby, dama"
Macropus agilis,"Kangaroo, jungle"
Psittacula krameri,Rose-ringed parakeet
Philetairus socius,"Weaver, sociable"
Pseudoleistes virescens,"Marshbird, brown and yellow"
Bubalus arnee,"Buffalo, asian water"
Colobus guerza,Guerza
Buteo galapagoensis,Galapagos hawk
Uraeginthus angolensis,"Waxbill, blue"
Dasyurus maculatus,"Quoll, spotted-tailed"
Hystrix indica,Indian porcupine
Thamnolaea cinnmomeiventris,Mocking cliffchat
Dendrohyrax brucel,Dassie
Haliaeetus leucocephalus,Bald eagle
Geococcyx californianus,Greater roadrunner
Anthropoides paradisea,Stanley crane
Pelecanus occidentalis,"Pelican, brown"
Calyptorhynchus magnificus,"Cockatoo, red-tailed"
Cereopsis novaehollandiae,Cereopsis goose
Tockus erythrorhyncus,"Hornbill, red-billed"
Milvus migrans,Black kite
Cacatua tenuirostris,Long-billed cockatoo
Cacatua tenuirostris,"Corella, long-billed"
Cathartes aura,Turkey vulture
Delphinus delphis,Common dolphin
Otocyon megalotis,"Fox, bat-eared"
Anthropoides paradisea,Blue crane
Rhea americana,Common rhea
Naja nivea,"Cobra, cape"
Phasianus colchicus,"Pheasant, ring-necked"
Aegypius occipitalis,"Vulture, white-headed"
Anastomus oscitans,Openbill stork
unavailable,Flying fox (unidentified)
Colobus guerza,"Colobus, magistrate black"
Phylurus milli,Barking gecko
Kobus defassa,"Waterbuck, common"
Theropithecus gelada,Gelada baboon
Eumetopias jubatus,"Lion, steller's sea"
Odocoileus hemionus,"Deer, mule"
unavailable,Ant (unidentified)
Semnopithecus entellus,Gray langur
unavailable,Hummingbird (unidentified)
Oryx gazella,"Oryx, beisa"
Isoodon obesulus,Short-nosed bandicoot
Actophilornis africanus,Lily trotter
Crotalus triseriatus,Dusky rattlesnake
Pseudocheirus peregrinus,"Ringtail, common"
Colobus guerza,White-mantled colobus
Oryx gazella,"Oryx, beisa"
Oncorhynchus nerka,"Salmon, sockeye"
Nasua nasua,"Coatimundi, ring-tailed"
Conolophus subcristatus,Land iguana
Meleagris gallopavo,"Turkey, common"
Aegypius tracheliotus,Lappet-faced vulture
Acrobates pygmaeus,"Glider, feathertail"
Sagittarius serpentarius,"Bird, secretary"
Macaca nemestrina,Pig-tailed macaque
Eumetopias jubatus,Steller's sea lion
Ara ararauna,Blue and gold macaw
Mirounga angustirostris,Northern elephant seal
Phalacrocorax niger,Little cormorant
Cacatua tenuirostris,"Cockatoo, slender-billed"
Sarcorhamphus papa,King vulture
Kobus defassa,Common waterbuck
Arctogalidia trivirgata,"Civet, small-toothed palm"
Stenella coeruleoalba,"Dolphin, striped"
Tiliqua scincoides,Blue-tongued lizard
Heloderma horridum,"Monster, gila"
Ovibos moschatus,Musk ox
Phascolarctos cinereus,Koala
Rhea americana,Gray rhea
Globicephala melas,"Whale, long-finned pilot"
Streptopelia senegalensis,Little brown dove
Aonyx cinerea,"Otter, small-clawed"
Corvus brachyrhynchos,House crow
Canis latrans,Coyote
Prionace glauca,Blue shark
Anthropoides paradisea,"Crane, blue"
Phalaropus lobatus,Northern phalarope
Anas punctata,Hottentot teal
Terrapene carolina,Eastern box turtle
Mazama gouazoubira,Brown brocket
Eolophus roseicapillus,"Cockatoo, red-breasted"
Cervus canadensis,"Wapiti, elk,"
Zenaida galapagoensis,Galapagos dove
Trachyphonus vaillantii,Levaillant's barbet
Tadorna tadorna,"Shelduck, european"
Terathopius ecaudatus,Bateleur eagle
Aonyx capensis,African clawless otter
Thalasseus maximus,Royal tern
Junonia genoveua,Genoveva
Neotis denhami,"Bustard, stanley"
Redunca redunca,Bohor reedbuck
Ursus americanus,Black bear
Heloderma horridum,"Monster, gila"
Terrapene carolina,"Turtle, eastern box"
Macropus rufogriseus,"Wallaby, bennett's"
Hystrix cristata,Crested porcupine
Limnocorax flavirostra,African black crake
Gymnorhina tibicen,Black-backed magpie
Erinaceus frontalis,South African hedgehog
Callipepla gambelii,"Quail, gambel's"
Gymnorhina tibicen,Black-backed magpie
Otaria flavescens,Southern sea lion
Uraeginthus granatina,Common grenadier
Limosa haemastica,"Godwit, hudsonian"
Columba palumbus,"Dove, ring"
Tayassu pecari,White-lipped peccary
Herpestes javanicus,Javan gold-spotted mongoose
Propithecus verreauxi,"Sifaka, verreaux's"
Terrapene carolina,Eastern box turtle
Zalophus californicus,Galapagos sea lion
Plectopterus gambensis,"Goose, spur-winged"
Ninox superciliaris,"Owl, white-browed"
Ovibos moschatus,Musk ox
Melanerpes erythrocephalus,"Woodpecker, red-headed"
Marmota monax,Woodchuck
Spermophilus lateralis,Golden-mantled ground squirrel
Carduelis uropygialis,Yellow-rumped siskin
Pteronura brasiliensis,"Otter, brazilian"
Bubalus arnee,"Buffalo, wild water"
Pseudocheirus peregrinus,"Ringtail, common"
Gorilla gorilla,"Gorilla, western lowland"
Galago crassicaudataus,Large-eared bushbaby
Columba livia,"Pigeon, feral rock"
Aegypius occipitalis,White-headed vulture
Bettongia penicillata,Brush-tailed bettong
Anthropoides paradisea,Stanley crane
Papio cynocephalus,Olive baboon
Dromaeus novaehollandiae,Emu
Phascogale calura,"Wambenger, red-tailed"
Irania gutteralis,White-throated robin
Procyon lotor,Common raccoon
Oreamnos americanus,Mountain goat
Zosterops pallidus,Pale white-eye
Tauraco porphyrelophus,"Turaco, violet-crested"
Mephitis mephitis,Striped skunk
Pseudocheirus peregrinus,"Possum, ring-tailed"
Ursus arctos,Grizzly bear
Cynictis penicillata,Yellow mongoose
Anser caerulescens,Snow goose
Eudromia elegans,Elegant crested tinamou
Erethizon dorsatum,"Porcupine, north american"
Sula nebouxii,"Booby, blue-footed"
Crotaphytus collaris,"Lizard, collared"
Choriotis kori,Kori bustard
Tockus erythrorhyncus,"Hornbill, red-billed"
Canis aureus,Golden jackal
Lycaon pictus,"Dog, african wild"
Bos frontalis,Gaur
Choloepus hoffmani,"Sloth, two-toed"
Branta canadensis,Canada goose
Diomedea irrorata,Galapagos albatross
Macaca mulatta,"Macaque, rhesus"
Tringa glareola,"Sandpiper, spotted wood"
Cochlearius cochlearius,"Heron, boat-billed"
Cereopsis novaehollandiae,Cereopsis goose
Bubalus arnee,Wild water buffalo
Ratufa indica,Malabar squirrel
Thylogale stigmatica,Red-legged pademelon
Pelecans onocratalus,Great white pelican
Acrantophis madagascariensis,"Constrictor, eastern boa"
Felis yagouaroundi,Jaguarundi
Tyto novaehollandiae,Australian masked owl
Lama glama,Llama
Ammospermophilus nelsoni,"Squirrel, antelope ground"
Catharacta skua,Great skua
Lutra canadensis,North American river otter
Rhabdomys pumilio,Four-striped grass mouse
Mabuya spilogaster,"Skink, african"
Gazella granti,"Gazelle, grant's"
Choloepus hoffmani,"Sloth, two-toed tree"
Manouria emys,Asian foreset tortoise
Tockus flavirostris,"Hornbill, yellow-billed"
Eutamias minimus,"Chipmunk, least"
Mycteria leucocephala,Painted stork
Petaurus norfolcensis,Squirrel glider
Amphibolurus barbatus,"Dragon, western bearded"
Aegypius occipitalis,"Vulture, white-headed"
Vulpes cinereoargenteus,"Fox, grey"
Zalophus californicus,Galapagos sea lion
Fulica cristata,"Coot, red-knobbed"
Anitibyx armatus,"Eagle, tawny"
Anser caerulescens,"Goose, snow"
Oxybelis sp.,Vine snake (unidentified)
Oreotragus oreotragus,Klipspringer
Raphicerus campestris,Steenbok
Thylogale stigmatica,Red-legged pademelon
Ursus maritimus,Polar bear
unavailable,Old world fruit bat (unidentified)
Alouatta seniculus,Red howler monkey
Nucifraga columbiana,Clark's nutcracker
Ovis ammon,Argalis
Cereopsis novaehollandiae,"Goose, cape barren"
Anser caerulescens,Snow goose
Spermophilus armatus,"Squirrel, uinta ground"
Meleagris gallopavo,Common turkey
Fratercula corniculata,"Puffin, horned"
Semnopithecus entellus,"Langur, gray"
Castor canadensis,"Beaver, north american"
Bison bison,"Bison, american"
Semnopithecus entellus,Gray langur
Uraeginthus granatina,"Grenadier, common"
Pitangus sulphuratus,Great kiskadee
Oryx gazella callotis,"Oryx, fringe-eared"
Echimys chrysurus,Arboral spiny rat
Camelus dromedarius,Dromedary camel
Oreamnos americanus,"Goat, mountain"
Gerbillus sp.,Gerbil (unidentified)
Sylvicapra grimma,"Duiker, gray"
Calyptorhynchus magnificus,Red-tailed cockatoo
Milvus migrans,Black kite
Hystrix cristata,"Porcupine, african"
Marmota flaviventris,Yellow-bellied marmot
Charadrius tricollaris,"Plover, three-banded"
Francolinus swainsonii,"Francolin, swainson's"
Lycaon pictus,"Dog, african wild"
Dusicyon thous,Savanna fox
Suricata suricatta,Suricate
Felis chaus,"Cat, jungle"
Sterna paradisaea,"Tern, arctic"
Felis libyca,"Cat, cape wild"
Choriotis kori,"Bustard, kori"
Hystrix cristata,"Porcupine, african"
Tringa glareola,"Sandpiper, spotted wood"
Ammospermophilus nelsoni,"Squirrel, antelope ground"
Streptopelia decipiens,Mourning collared dove
Aepyceros mylampus,Impala
Marmota caligata,"Marmot, hoary"
Trichoglossus haematodus moluccanus,"Lory, rainbow"
Dusicyon thous,"Fox, crab-eating"
Acrantophis madagascariensis,Eastern boa constrictor
Lepus townsendii,White-tailed jackrabbit
Otaria flavescens,South American sea lion
Leptoptilus dubius,Greater adjutant stork
Paraxerus cepapi,"Squirrel, smith's bush"
Castor canadensis,American beaver
unavailable,Python (unidentified)
Tiliqua scincoides,Blue-tongued skink
Ratufa indica,Indian giant squirrel
Passer domesticus,"Sparrow, house"
Crax sp.,Currasow (unidentified)
Bison bison,"Bison, american"
Gorilla gorilla,Western lowland gorilla
Anthropoides paradisea,"Crane, stanley"
Ceryle rudis,Pied kingfisher
Odocoileus hemionus,Black-tailed deer
Dendrocitta vagabunda,"Pie, indian tree"
Gyps fulvus,Griffon vulture
Alcelaphus buselaphus cokii,Kongoni
Macropus agilis,"Wallaby, river"
Vanellus sp.,Lapwing (unidentified)
Naja nivea,Cape cobra
Marmota caligata,"Marmot, hoary"
Oxybelis sp.,Vine snake (unidentified)
Helogale undulata,"Mongoose, eastern dwarf"
Podargus strigoides,"Frogmouth, tawny"
Dusicyon thous,Savanna fox
Carduelis pinus,Pine siskin
Meleagris gallopavo,"Turkey, common"
Trichosurus vulpecula,Common brushtail possum
Mustela nigripes,Black-footed ferret
Uraeginthus angolensis,"Bleu, blue-breasted cordon"
Ploceus intermedius,"Weaver, lesser masked"
Lepus townsendii,White-tailed jackrabbit
Tamiasciurus hudsonicus,Pine squirrel
Terrapene carolina,"Turtle, eastern box"
Eolophus roseicapillus,"Cockatoo, red-breasted"
Ara chloroptera,Red and blue macaw
Macropus fuliginosus,Black-faced kangaroo
Ardea cinerea,"Heron, grey"
Chauna torquata,Crested screamer
Picoides pubescens,Downy woodpecker
Dasypus septemcincus,"Armadillo, seven-banded"
Ploceus rubiginosus,Chestnut weaver
Prionace glauca,"Shark, blue"
Neotoma sp.,Woodrat (unidentified)
Bucephala clangula,"Goldeneye, barrows"
Himantopus himantopus,"Stilt, black-winged"
Eudyptula minor,"Penguin, fairy"
Dicrostonyx groenlandicus,Collared lemming
Antilope cervicapra,Blackbuck
Lycaon pictus,African wild dog
Isoodon obesulus,Short-nosed bandicoot
Cervus canadensis,"Wapiti, elk,"
Alcelaphus buselaphus cokii,Coke's hartebeest
Libellula quadrimaculata,Four-spotted skimmer
Carduelis pinus,Pine siskin
Giraffe camelopardalis,Giraffe
Cervus elaphus,"Deer, red"
Phalaropus lobatus,Red-necked phalarope
Ninox superciliaris,Madagascar hawk owl
Papio cynocephalus,Olive baboon
Eudyptula minor,"Penguin, little blue"
Potorous tridactylus,Potoroo
Recurvirostra avosetta,Pied avocet
Petaurus norfolcensis,Squirrel glider
Zalophus californicus,California sea lion
Charadrius tricollaris,"Plover, three-banded"
Megaderma spasma,"Bat, asian false vampire"
Spheniscus mendiculus,"Penguin, galapagos"
Branta canadensis,"Goose, canada"
Bucephala clangula,Common goldeneye
Dasypus novemcinctus,"Armadillo, nine-banded"
Mazama gouazoubira,Brown brocket
Sciurus vulgaris,Eurasian red squirrel
Gyps fulvus,Griffon vulture
Rangifer tarandus,Caribou
Gyps fulvus,"Vulture, griffon"
Melursus ursinus,"Bear, sloth"
unavailable,Sea birds (unidentified)
Cebus apella,Black-capped capuchin
Papio ursinus,Chacma baboon
Mazama americana,"Brocket, red"
Acrantophis madagascariensis,"Boa, malagasy ground"
Pelecanus conspicillatus,Australian pelican
Spizaetus coronatus,"Eagle, crowned"
Phalacrocorax niger,Little cormorant
Mabuya spilogaster,African skink
Myotis lucifugus,"Bat, little brown"
Dicrostonyx groenlandicus,"Lemming, collared"
Geospiza sp.,Darwin ground finch (unidentified)
unavailable,Lizard (unidentified)
Nasua nasua,"Coatimundi, ring-tailed"
Equus burchelli,Common zebra
Ephippiorhynchus mycteria,Jabiru stork
Dipodomys deserti,Desert kangaroo rat
Acrobates pygmaeus,"Possum, pygmy"
Myrmecophaga tridactyla,Giant anteater
Capra ibex,Ibex
Chauna torquata,"Screamer, southern"
Pterocles gutturalis,Yellow-throated sandgrouse
Trichoglossus haematodus moluccanus,Rainbow lory
Oryx gazella,Gemsbok
Columba livia,Feral rock pigeon
Panthera pardus,Leopard
Lorythaixoides concolor,"Bird, bare-faced go away"
Dendrohyrax brucel,Hyrax
Anathana ellioti,Mandras tree shrew
Pteronura brasiliensis,"Otter, giant"
unavailable,Gecko (unidentified)
Pteropus rufus,"Bat, madagascar fruit"
Epicrates cenchria maurus,Columbian rainbow boa
Papio cynocephalus,"Baboon, savanna"
Sciurus niger,Eastern fox squirrel
Bugeranus caruncalatus,"Crane, wattled"
Bos taurus,"Cow, scottish highland"
Nesomimus trifasciatus,Galapagos mockingbird
Felis silvestris lybica,"Cat, european wild"
Ploceus rubiginosus,"Weaver, chestnut"
Anastomus oscitans,Openbill stork
Gazella granti,"Gazelle, grant's"
Naja haje,"Viper, egyptian"
Limnocorax flavirostra,"Crake, african black"
Rhea americana,"Rhea, greater"
Chlamydosaurus kingii,Frilled lizard
Dasyurus maculatus,"Cat, tiger"
Otaria flavescens,"Lion, south american sea"
Cochlearius cochlearius,Boat-billed heron
Corvus brachyrhynchos,"Crow, house"
Manouria emys,"Tortoise, burmese brown mountain"
Helogale undulata,Eastern dwarf mongoose
Felis wiedi or Leopardus weidi,Long-tailed spotted cat
Ictalurus furcatus,Blue catfish
Gekko gecko,Tokay gecko
Felis pardalis,Ocelot
Ursus americanus,"Bear, american black"
Varanus sp.,Goanna lizard
Cervus duvauceli,"Deer, barasingha"
Phalaropus fulicarius,Grey phalarope
Echimys chrysurus,Arboral spiny rat
Castor canadensis,American beaver
Junonia genoveua,Genoveva
Bassariscus astutus,Ringtail cat
Buteo regalis,Ferruginous hawk
Sylvicapra grimma,"Duiker, common"
Rhea americana,"Rhea, greater"
Gerbillus sp.,Gerbil (unidentified)
unavailable,Civet (unidentified)
Connochaetus taurinus,Brindled gnu
Leprocaulinus vipera,"Insect, stick"
Cereopsis novaehollandiae,Cape Barren goose
Anathana ellioti,Mandras tree shrew
Dasyurus maculatus,Spotted-tailed quoll
Rana sp.,Frog (unidentified)
Dendrocygna viduata,"Duck, white-faced whistling"
Dusicyon thous,"Fox, crab-eating"
Eolophus roseicapillus,Roseate cockatoo
Propithecus verreauxi,"Sifaka, verreaux's"
Phoeniconaias minor,"Flamingo, lesser"
Dusicyon thous,Common zorro
Cacatua tenuirostris,"Cockatoo, slender-billed"
Bubalus arnee,Wild water buffalo
Cochlearius cochlearius,"Heron, boat-billed"
Cacatua tenuirostris,"Cockatoo, long-billed"
Vulpes chama,Cape fox
Galictis vittata,Huron
Chauna torquata,"Screamer, crested"
Chelodina longicollis,"Turtle, snake-necked"
Phalaropus lobatus,Northern phalarope
Varanus salvator,"Monitor, two-banded"
Centrocercus urophasianus,Sage grouse
Choloepus hoffmani,Hoffman's sloth
Uraeginthus angolensis,"Waxbill, blue"
Otaria flavescens,"Lion, southern sea"
Alcelaphus buselaphus cokii,"Hartebeest, coke's"
Francolinus leucoscepus,"Spurfowl, yellow-necked"
Tamiasciurus hudsonicus,Pine squirrel
Hyaena brunnea,"Hyena, brown"
Macropus robustus,Common wallaroo
Pelecanus occidentalis,Brown pelican
Picoides pubescens,"Woodpecker, downy"
Hyaena brunnea,Brown hyena
Cracticus nigroagularis,Pied butcher bird
Isoodon obesulus,Southern brown bandicoot
Globicephala melas,"Whale, long-finned pilot"
Mazama americana,"Brocket, red"
Lepus townsendii,White-tailed jackrabbit
Theropithecus gelada,"Monkey, bleeding heart"
Milvago chimachima,"Caracara, yellow-headed"
Tyto novaehollandiae,Australian masked owl
Heloderma horridum,"Monster, gila"
Theropithecus gelada,Gelada baboon
Macaca radiata,Bonnet macaque
Vulpes chama,"Fox, silver-backed"
Tockus flavirostris,Yellow-billed hornbill
Cygnus buccinator,Trumpeter swan
Coendou prehensilis,"Porcupine, prehensile-tailed"
Eurocephalus anguitimens,"Shrike, southern white-crowned"
Lorythaixoides concolor,Bare-faced go away bird
Bettongia penicillata,Brush-tailed bettong
Balearica pavonina,Black-crowned crane
Mephitis mephitis,Striped skunk
Eremophila alpestris,Horned lark
Axis axis,"Deer, spotted"
Laniaurius atrococcineus,"Gonolek, burchell's"
Otocyon megalotis,"Fox, bat-eared"
Varanus sp.,Ground monitor (unidentified)
Antidorcas marsupialis,Springbuck
Connochaetus taurinus,"Wildebeest, blue"
Columba palumbus,"Pigeon, wood"
Pelecans onocratalus,"Pelican, eastern white"
Sus scrofa,Wild boar
Castor fiber,"Beaver, eurasian"
Coluber constrictor,"Snake, racer"
Bucephala clangula,"Goldeneye, common"
Aonyx cinerea,"Otter, small-clawed"
Loris tardigratus,Slender loris
unavailable,Turtle (unidentified)
Aepyceros mylampus,Impala
Lorythaixoides concolor,Bare-faced go away bird
Semnopithecus entellus,"Langur, hanuman"
Lepus townsendii,White-tailed jackrabbit
Bubalus arnee,"Buffalo, wild water"
Kobus defassa,"Waterbuck, defassa"
Sterna paradisaea,Arctic tern
Hippotragus niger,Sable antelope
Phascogale tapoatafa,"Phascogale, brush-tailed"
Anas bahamensis,Bahama pintail
Sciurus vulgaris,Eurasian red squirrel
Charadrius tricollaris,Three-banded plover
Sus scrofa,Wild boar
Stenella coeruleoalba,"Dolphin, striped"
Alcelaphus buselaphus cokii,Kongoni
Gabianus pacificus,"Gull, pacific"
Ramphastos tucanus,"Toucan, red-billed"
Columba palumbus,Wood pigeon
Actophilornis africanus,African jacana
Phalaropus fulicarius,"Phalarope, red"
Cervus elaphus,Red deer
Connochaetus taurinus,Brindled gnu
Libellula quadrimaculata,"Skimmer, four-spotted"
Chauna torquata,"Screamer, crested"
Neotoma sp.,Woodrat (unidentified)
Ursus americanus,American black bear
Rhea americana,Greater rhea
Cordylus giganteus,Sun gazer
Anathana ellioti,"Shrew, mandras tree"
Gymnorhina tibicen,"Magpie, black-backed"
Vulpes vulpes,Asian red fox
Ninox superciliaris,"Owl, white-browed"
Cebus apella,"Capuchin, black-capped"
Ratufa indica,Indian giant squirrel
Axis axis,Spotted deer
Taxidea taxus,American badger
Grus antigone,"Crane, sarus"
Nyctereutes procyonoides,"Dog, raccoon"
Tauraco porphyrelophus,"Turaco, violet-crested"
Speothos vanaticus,"Dog, bush"
Chlamydosaurus kingii,Frilled dragon
Eudromia elegans,"Tinamou, elegant crested"
Anas bahamensis,Bahama pintail
Acridotheres tristis,Common mynah
Cordylus giganteus,"Lizard, giant girdled"
Vulpes cinereoargenteus,Grey fox
Anas bahamensis,Bahama pintail
Toxostoma curvirostre,"Thrasher, curve-billed"
Larus fuliginosus,Dusky gull
Ciconia episcopus,"Stork, white-necked"
Aegypius tracheliotus,Black vulture
Prionace glauca,Blue shark
Herpestes javanicus,Javan gold-spotted mongoose
Thamnolaea cinnmomeiventris,Mocking cliffchat
Otocyon megalotis,"Fox, bat-eared"
Panthera pardus,Indian leopard
Eumetopias jubatus,"Lion, steller's sea"
Cervus unicolor,Sambar
Phalacrocorax brasilianus,"Cormorant, neotropic"
Alcelaphus buselaphus cokii,"Hartebeest, coke's"
Equus burchelli,"Zebra, plains"
Dusicyon thous,"Fox, crab-eating"
Colaptes campestroides,"Flicker, field"
Ciconia ciconia,"Stork, white"
Chamaelo sp.,Chameleon (unidentified)
Alcelaphus buselaphus cokii,Coke's hartebeest
Phylurus milli,Barking gecko
unavailable,Gecko (unidentified)
Cebus apella,"Capuchin, black-capped"
Porphyrio porphyrio,Purple moorhen
Mephitis mephitis,Striped skunk
Felis wiedi or Leopardus weidi,Margay
Limosa haemastica,Hudsonian godwit
Lophoaetus occipitalis,Long-crested hawk eagle
Naja haje,Egyptian cobra
Hippotragus niger,"Antelope, sable"
Iguana iguana,Common green iguana
Cathartes aura,Turkey vulture
Paroaria gularis,"Cardinal, red-capped"
Arctogalidia trivirgata,"Civet, small-toothed palm"
Ploceus intermedius,Lesser masked weaver
Felis concolor,Mountain lion
Graspus graspus,"Crab, red lava"
Dasyurus maculatus,"Quoll, spotted-tailed"
Dacelo novaeguineae,Laughing kookaburra
Fregata magnificans,Magnificent frigate bird
Ratufa indica,"Squirrel, indian giant"
Francolinus swainsonii,Swainson's francolin
Colobus guerza,"Colobus, white-mantled"
Paraxerus cepapi,"Squirrel, smith's bush"
Speotyte cuniculata,Burrowing owl
Naja haje,"Viper, egyptian"
Ateles paniscus,Black spider monkey
Anastomus oscitans,Asian openbill
Cervus duvauceli,Swamp deer
Anas bahamensis,Bahama pintail
unavailable,Ant (unidentified)
Larus fuliginosus,"Gull, lava"
Snycerus caffer,"Buffalo, african"
Ceratotherium simum,"Rhinoceros, white"
Sarcorhamphus papa,King vulture
Marmota flaviventris,"Marmot, yellow-bellied"
