nom_scientifique,date
Loxodonta africana,12/12/2020
Panthera leo,08/11/2013
Meleagris gallopavo,24/01/2020
Zenaida galapagoensis,09/06/2019
Tachyglossus aculeatus,10/12/2017
Alopex lagopus,15/11/2018
Proteles cristatus,21/06/2018
Podargus strigoides,19/10/2015
Cacatua tenuirostris,30/04/2020
Amblyrhynchus cristatus,16/06/2014
Heloderma horridum,11/09/2014
Nyctereutes procyonoides,02/11/2016
Alectura lathami,10/12/2015
Marmota caligata,12/02/2020
Sylvilagus floridanus,20/08/2013
Cervus duvauceli,27/02/2020
Phaethon aethereus,09/05/2016
Vanellus chilensis,08/03/2019
Ictonyx striatus,06/02/2020
Bos mutus,14/08/2020
Macaca mulatta,19/05/2019
Speotyte cuniculata,11/10/2016
Butorides striatus,16/12/2020
Trichosurus vulpecula,17/08/2020
Carphophis sp.,08/08/2019
Semnopithecus entellus,16/08/2016
Geochelone radiata,14/10/2020
Sula dactylatra,16/10/2013
Elephas maximus bengalensis,03/07/2020
Neophoca cinerea,10/11/2014
Morelia spilotes variegata,06/11/2019
Zosterops pallidus,01/05/2020
Macaca radiata,04/02/2014
Semnopithecus entellus,20/05/2013
Phoenicopterus ruber,05/01/2018
Himantopus himantopus,04/07/2017
Megaderma spasma,09/09/2017
Eolophus roseicapillus,19/09/2017
Lycosa godeffroyi,23/07/2016
Struthio camelus,29/04/2020
Pycnonotus barbatus,06/03/2016
Anser caerulescens,14/07/2014
Rangifer tarandus,31/10/2017
Ephipplorhynchus senegalensis,27/08/2019
Phalacrocorax carbo,10/07/2019
Ictonyx striatus,01/01/2014
Plegadis ridgwayi,13/09/2019
Alcelaphus buselaphus cokii,17/12/2020
Antechinus flavipes,15/04/2015
Anas bahamensis,15/02/2021
Actophilornis africanus,07/10/2013
Grus antigone,01/12/2020
Egretta thula,18/09/2015
Galago crassicaudataus,23/03/2020
Melophus lathami,08/03/2020
Fulica cristata,22/09/2016
Chlamydosaurus kingii,16/04/2017
Colobus guerza,01/11/2015
Castor fiber,15/06/2014
Ciconia ciconia,22/01/2015
Neophoca cinerea,13/09/2015
unavailable,27/05/2020
Panthera leo persica,10/07/2019
Butorides striatus,09/12/2020
Dasyurus viverrinus,26/02/2021
Ara ararauna,21/12/2017
Dasypus novemcinctus,28/12/2014
Eudyptula minor,07/11/2013
unavailable,05/11/2018
Corvus albus,25/12/2016
Ursus arctos,02/02/2021
Scolopax minor,20/05/2016
Actophilornis africanus,22/08/2016
Bos taurus,03/03/2017
Pteropus rufus,15/04/2017
Dasyprocta leporina,13/09/2020
Manouria emys,02/09/2016
Sarcophilus harrisii,27/10/2016
Helogale undulata,11/04/2017
Smithopsis crassicaudata,21/08/2015
unavailable,05/05/2019
Buteo jamaicensis,21/11/2018
Neophron percnopterus,06/06/2020
Phalaropus lobatus,01/05/2017
Phalacrocorax albiventer,04/09/2018
Galictis vittata,18/01/2018
Eudromia elegans,02/08/2018
Perameles nasuta,01/07/2015
Sus scrofa,28/05/2013
Macropus rufus,16/04/2014
Sarkidornis melanotos,05/06/2017
Columba palumbus,26/11/2018
Gymnorhina tibicen,19/06/2013
Cordylus giganteus,25/11/2015
Dicrostonyx groenlandicus,09/10/2015
Numida meleagris,03/04/2018
Psittacula krameri,03/12/2017
Sarcophilus harrisii,31/08/2015
Macropus eugenii,11/08/2019
Ciconia episcopus,06/09/2020
Centrocercus urophasianus,08/06/2014
Myrmecophaga tridactyla,16/05/2018
Ploceus intermedius,01/06/2019
Loris tardigratus,16/11/2015
Eolophus roseicapillus,10/06/2017
Gyps fulvus,18/07/2013
Semnopithecus entellus,23/12/2014
Giraffe camelopardalis,02/06/2015
Recurvirostra avosetta,18/09/2017
Castor fiber,20/10/2018
Haliaetus leucogaster,25/06/2018
Procyon cancrivorus,03/06/2015
Ursus maritimus,27/07/2019
Meles meles,10/10/2019
Trichosurus vulpecula,20/07/2015
Herpestes javanicus,07/02/2018
Pycnonotus nigricans,23/09/2015
Ephipplorhynchus senegalensis,06/03/2017
Loxodonta africana,27/08/2019
Melanerpes erythrocephalus,09/07/2014
Dendrohyrax brucel,09/11/2014
Phoenicopterus chilensis,11/09/2020
Taxidea taxus,24/12/2019
Francolinus coqui,01/03/2017
Sciurus vulgaris,26/12/2013
Ctenophorus ornatus,17/01/2018
Antechinus flavipes,15/12/2018
Haliaeetus leucoryphus,28/04/2013
Macropus rufogriseus,29/04/2016
Eremophila alpestris,06/12/2018
Varanus salvator,05/12/2016
Canis mesomelas,17/10/2020
Physignathus cocincinus,01/09/2020
Chelodina longicollis,29/11/2020
Cereopsis novaehollandiae,19/02/2015
Iguana iguana,22/08/2014
Uraeginthus granatina,31/03/2018
Orcinus orca,22/05/2016
Bubulcus ibis,06/04/2021
Psophia viridis,26/04/2020
Lycaon pictus,22/03/2020
Sitta canadensis,19/07/2016
Anitibyx armatus,01/08/2013
Salvadora hexalepis,01/04/2015
Redunca redunca,06/05/2015
Ploceus intermedius,09/09/2017
Semnopithecus entellus,17/07/2020
Papio cynocephalus,10/11/2018
Mephitis mephitis,20/06/2016
Phalaropus fulicarius,12/12/2014
Suricata suricatta,28/09/2013
Mungos mungo,10/06/2016
Lutra canadensis,15/04/2020
Amblyrhynchus cristatus,22/05/2015
Crocodylus niloticus,10/10/2013
Taurotagus oryx,11/04/2016
Alcelaphus buselaphus cokii,18/12/2016
Melophus lathami,23/10/2016
Larus fuliginosus,06/02/2020
Damaliscus lunatus,16/10/2013
Merops bullockoides,18/03/2015
Varanus albigularis,09/01/2017
Canis aureus,29/10/2013
Boa caninus,22/12/2018
Coracias caudata,11/02/2018
Bubalornis niger,24/11/2018
Catharacta skua,02/01/2020
Butorides striatus,16/07/2018
Eira barbata,12/10/2017
Tayassu tajacu,18/12/2015
Erethizon dorsatum,18/03/2015
Aegypius tracheliotus,27/03/2018
Varanus sp.,06/11/2015
Alcelaphus buselaphus cokii,01/09/2014
Graspus graspus,28/08/2016
Mabuya spilogaster,26/08/2017
Tringa glareola,28/07/2018
Taurotagus oryx,09/03/2014
Petaurus breviceps,19/03/2014
Cordylus giganteus,05/12/2013
Terrapene carolina,11/02/2018
Bradypus tridactylus,28/10/2019
Cercopithecus aethiops,29/04/2015
Lycosa godeffroyi,25/09/2014
Caiman crocodilus,13/01/2018
Ammospermophilus nelsoni,15/09/2015
Agama sp.,21/09/2016
Ephippiorhynchus mycteria,02/12/2014
Himantopus himantopus,27/02/2015
Anthropoides paradisea,13/06/2013
Lophoaetus occipitalis,23/03/2021
Semnopithecus entellus,20/09/2015
Cochlearius cochlearius,11/02/2020
Dasyurus viverrinus,20/02/2020
Oryx gazella,18/04/2013
Agelaius phoeniceus,10/05/2015
Laniarius ferrugineus,20/02/2015
Dasyurus maculatus,24/12/2020
Redunca redunca,24/12/2020
Dusicyon thous,29/01/2015
Acanthaster planci,14/12/2015
Crotalus adamanteus,05/08/2017
Physignathus cocincinus,09/09/2016
Pseudocheirus peregrinus,25/01/2015
Laniarius ferrugineus,25/10/2019
Milvago chimachima,27/12/2019
Gymnorhina tibicen,08/02/2021
Hymenolaimus malacorhynchus,16/09/2018
Crotalus adamanteus,26/09/2013
Papio cynocephalus,25/09/2020
Falco peregrinus,01/11/2018
Naja sp.,16/09/2019
Dipodomys deserti,01/03/2019
Stercorarius longicausus,18/07/2017
Pseudalopex gymnocercus,04/07/2017
Ovibos moschatus,03/12/2018
Tragelaphus scriptus,05/10/2020
Vanessa indica,10/03/2021
Equus burchelli,17/11/2020
Sula dactylatra,10/10/2016
Gekko gecko,23/06/2014
Ploceus rubiginosus,15/03/2017
Equus burchelli,07/01/2021
Marmota flaviventris,16/07/2020
Lemur catta,01/09/2019
Ictonyx striatus,22/04/2016
Felis chaus,09/09/2019
Macaca nemestrina,27/11/2014
Tockus erythrorhyncus,04/12/2020
Cebus albifrons,11/01/2017
Milvago chimachima,09/06/2016
Bucorvus leadbeateri,29/09/2016
Naja haje,14/02/2016
Macropus robustus,04/06/2016
Martes americana,05/04/2018
Paradoxurus hermaphroditus,28/03/2020
Cercatetus concinnus,22/07/2015
Diomedea irrorata,10/07/2018
Bubalus arnee,19/02/2015
Columba palumbus,25/11/2019
Pteronura brasiliensis,19/03/2021
Sus scrofa,07/02/2014
Mellivora capensis,04/08/2018
Ursus maritimus,10/09/2020
Erethizon dorsatum,26/07/2014
Meles meles,18/01/2020
Philetairus socius,30/07/2017
Pseudalopex gymnocercus,29/09/2017
Semnopithecus entellus,10/02/2018
Uraeginthus granatina,27/07/2016
Ictonyx striatus,09/03/2017
Cacatua tenuirostris,18/07/2013
Ictalurus furcatus,15/06/2015
Petaurus norfolcensis,02/08/2016
Geococcyx californianus,13/08/2017
Plocepasser mahali,29/04/2015
Ursus americanus,24/08/2019
Mirounga angustirostris,07/09/2016
Dasyurus maculatus,09/05/2017
Columba livia,19/12/2014
Gorilla gorilla,01/08/2018
Phascogale calura,20/08/2017
Pseudalopex gymnocercus,04/09/2017
Varanus sp.,15/11/2020
Thalasseus maximus,28/01/2014
Nyctea scandiaca,01/09/2014
Eudyptula minor,07/01/2021
Zosterops pallidus,29/08/2020
Mirounga leonina,22/01/2019
Ovis ammon,04/10/2017
Irania gutteralis,08/11/2014
Macropus robustus,27/04/2019
Ictonyx striatus,22/03/2017
Ninox superciliaris,01/04/2018
Catharacta skua,29/11/2017
Loris tardigratus,04/12/2015
Acrobates pygmaeus,16/02/2015
Dendrocitta vagabunda,21/12/2018
Proteles cristatus,19/01/2021
Tockus erythrorhyncus,15/07/2013
Spheniscus magellanicus,02/06/2017
Chelodina longicollis,01/10/2014
Cervus duvauceli,16/08/2014
Ammospermophilus nelsoni,20/07/2013
Aegypius occipitalis,30/08/2013
Certotrichas paena,12/11/2019
Oryx gazella callotis,24/07/2018
Rangifer tarandus,19/04/2018
Macropus eugenii,03/02/2015
Sula dactylatra,24/06/2017
Damaliscus dorcas,24/10/2019
Cathartes aura,24/05/2016
Ourebia ourebi,24/10/2013
Picoides pubescens,28/07/2013
Coendou prehensilis,17/04/2013
Mycteria ibis,11/06/2017
Melophus lathami,25/05/2014
Neotis denhami,11/06/2020
Chlidonias leucopterus,06/06/2016
Iguana iguana,27/03/2017
Ceratotherium simum,04/06/2014
Tayassu tajacu,06/07/2017
Francolinus leucoscepus,13/01/2021
Choloepus hoffmani,20/11/2017
Funambulus pennati,20/11/2013
Uraeginthus granatina,03/01/2020
Eolophus roseicapillus,21/07/2020
Papio cynocephalus,16/09/2018
Crotalus cerastes,13/08/2014
Tamiasciurus hudsonicus,01/05/2013
Climacteris melanura,21/10/2016
Laniaurius atrococcineus,06/02/2015
Canis aureus,07/11/2017
Cordylus giganteus,22/02/2021
Sylvicapra grimma,18/05/2018
Dendrocygna viduata,23/05/2014
Ateles paniscus,17/11/2015
Turtur chalcospilos,05/03/2014
Merops bullockoides,26/03/2014
Hystrix cristata,07/08/2018
Phoca vitulina,06/04/2020
Oryx gazella,27/10/2018
Axis axis,16/05/2020
Otocyon megalotis,11/01/2018
Panthera pardus,17/07/2019
Meleagris gallopavo,08/04/2017
Tayassu tajacu,26/04/2019
Gabianus pacificus,03/05/2019
Nasua nasua,30/03/2020
Microcebus murinus,01/05/2019
Leprocaulinus vipera,21/02/2015
Stercorarius longicausus,01/08/2020
Phoca vitulina,14/11/2019
Sula dactylatra,12/07/2018
Platalea leucordia,18/11/2014
Butorides striatus,05/11/2015
Merops nubicus,04/07/2020
Grus antigone,29/07/2019
Tursiops truncatus,13/09/2015
Ceratotherium simum,28/10/2020
Sylvicapra grimma,09/09/2013
Suricata suricatta,22/04/2017
Felis caracal,10/12/2017
Alces alces,18/04/2018
Spizaetus coronatus,02/11/2015
Sylvilagus floridanus,15/04/2014
Thalasseus maximus,05/06/2020
Eubalaena australis,11/01/2018
Tadorna tadorna,02/10/2018
Tapirus terrestris,10/05/2020
Chlamydosaurus kingii,12/10/2017
Gopherus agassizii,23/01/2020
Sauromalus obesus,09/12/2019
Genetta genetta,24/04/2017
Eumetopias jubatus,18/04/2019
Libellula quadrimaculata,19/07/2019
Diomedea irrorata,06/09/2014
Varanus salvator,15/05/2020
Sula nebouxii,30/06/2020
Agelaius phoeniceus,13/04/2013
Hippotragus niger,28/07/2020
Cervus duvauceli,29/05/2019
Pycnonotus nigricans,04/05/2016
Lorythaixoides concolor,26/10/2020
Anitibyx armatus,27/12/2014
Arctogalidia trivirgata,14/06/2020
Cervus duvauceli,13/01/2020
Upupa epops,06/05/2016
Tockus erythrorhyncus,24/09/2014
Cereopsis novaehollandiae,17/11/2013
Anastomus oscitans,15/02/2018
Fregata magnificans,02/05/2018
Sula nebouxii,21/04/2015
Streptopelia senegalensis,01/04/2019
Otaria flavescens,22/08/2019
Phasianus colchicus,27/02/2016
Echimys chrysurus,25/04/2015
Lophoaetus occipitalis,02/06/2016
Cervus elaphus,28/12/2018
Centrocercus urophasianus,15/06/2017
Cordylus giganteus,03/02/2014
unavailable,25/02/2020
Phoenicopterus chilensis,06/10/2013
Acrobates pygmaeus,21/02/2017
Calyptorhynchus magnificus,18/06/2017
Callipepla gambelii,16/08/2020
Phalacrocorax carbo,01/03/2017
Agelaius phoeniceus,30/05/2014
Casmerodius albus,21/02/2014
Chordeiles minor,03/11/2017
Platalea leucordia,14/05/2017
unavailable,14/02/2014
Axis axis,15/07/2020
Pteronura brasiliensis,24/06/2019
Rhea americana,28/10/2018
Antechinus flavipes,10/05/2015
Canis lupus,05/04/2018
Anastomus oscitans,22/04/2018
Coluber constrictor foxii,17/01/2016
Eudyptula minor,09/06/2013
unavailable,07/09/2013
Ceryle rudis,10/08/2013
Hystrix cristata,10/09/2018
Damaliscus lunatus,22/09/2018
Parus atricapillus,07/11/2017
Ara ararauna,24/09/2013
Notechis semmiannulatus,06/04/2021
Columba livia,25/11/2017
Phalacrocorax varius,12/05/2016
Irania gutteralis,13/05/2018
Centrocercus urophasianus,18/11/2014
Trachyphonus vaillantii,08/06/2014
Lepus arcticus,26/04/2019
Varanus salvator,09/10/2018
Canis lupus lycaon,07/11/2014
Gyps bengalensis,20/10/2016
Sitta canadensis,15/12/2013
Threskionis aethiopicus,13/12/2018
Kobus leche robertsi,18/08/2015
Centrocercus urophasianus,08/05/2019
Milvago chimachima,05/05/2019
Philetairus socius,10/02/2017
Falco peregrinus,23/04/2018
Bassariscus astutus,19/07/2017
Amphibolurus barbatus,22/10/2014
Microcebus murinus,03/08/2013
Gopherus agassizii,29/04/2013
Chelodina longicollis,08/07/2016
Acrobates pygmaeus,01/03/2017
Ephipplorhynchus senegalensis,07/06/2014
Terathopius ecaudatus,15/10/2016
Psittacula krameri,21/05/2020
Marmota monax,21/05/2019
Gyps bengalensis,28/05/2017
Alligator mississippiensis,21/12/2020
Eunectes sp.,14/02/2014
Sarkidornis melanotos,18/04/2018
Felis silvestris lybica,24/07/2018
Trichosurus vulpecula,25/10/2015
Dasyurus maculatus,22/02/2020
Sauromalus obesus,29/03/2016
Cordylus giganteus,28/10/2018
Vulpes vulpes,06/06/2017
Carduelis uropygialis,23/03/2019
Felis silvestris lybica,02/04/2017
Spizaetus coronatus,22/03/2016
Nannopterum harrisi,14/12/2019
Cercopithecus aethiops,03/04/2017
Geochelone radiata,14/10/2015
Ciconia episcopus,28/11/2017
Alectura lathami,18/04/2017
Dicrostonyx groenlandicus,25/06/2016
Buteo jamaicensis,06/03/2015
Canis mesomelas,22/09/2017
Chordeiles minor,22/04/2020
Laniaurius atrococcineus,16/03/2017
Thamnolaea cinnmomeiventris,16/05/2013
Mazama americana,30/09/2014
Varanus salvator,06/01/2015
Uraeginthus angolensis,05/05/2018
Mycteria leucocephala,03/10/2014
Taurotagus oryx,11/03/2017
Lasiorhinus latifrons,05/08/2018
unavailable,09/09/2020
Gyps bengalensis,01/09/2014
Merops bullockoides,31/01/2020
Bassariscus astutus,05/11/2014
Kobus leche robertsi,13/02/2020
Dendrohyrax brucel,19/01/2016
Pavo cristatus,09/06/2020
Graspus graspus,13/06/2020
Cervus elaphus,26/12/2019
Chlamydosaurus kingii,28/06/2015
Cacatua tenuirostris,22/08/2017
Deroptyus accipitrinus,09/05/2019
Dasypus novemcinctus,30/11/2015
Tragelaphus angasi,30/04/2020
Pelecanus occidentalis,14/06/2020
Spermophilus richardsonii,26/05/2018
Bugeranus caruncalatus,01/01/2021
Paradoxurus hermaphroditus,19/09/2015
Melursus ursinus,28/06/2020
Sylvicapra grimma,14/02/2016
Nasua narica,24/11/2018
Ardea golieth,05/07/2014
Phoenicopterus ruber,12/03/2015
Haliaeetus leucoryphus,01/12/2018
Mellivora capensis,26/04/2015
Zalophus californicus,13/07/2019
Cacatua tenuirostris,12/08/2017
Butorides striatus,01/11/2018
Nucifraga columbiana,28/11/2020
Cebus apella,11/05/2016
Anas bahamensis,25/11/2018
Corallus hortulanus cooki,06/08/2020
Zalophus californicus,10/02/2014
Tachybaptus ruficollis,20/12/2020
Carphophis sp.,10/02/2014
Neotoma sp.,02/03/2014
Mabuya spilogaster,10/03/2015
Hippotragus equinus,28/09/2019
Cervus duvauceli,16/04/2020
Pan troglodytes,13/11/2019
Paradoxurus hermaphroditus,17/11/2015
Alopex lagopus,05/06/2016
Felis concolor,16/02/2014
Caiman crocodilus,20/08/2016
Trichoglossus chlorolepidotus,08/12/2019
Morelia spilotes variegata,11/03/2016
Merops sp.,06/05/2014
Ephippiorhynchus mycteria,14/08/2017
Cacatua tenuirostris,20/04/2017
Otocyon megalotis,28/12/2018
Anthropoides paradisea,18/01/2021
Phalaropus lobatus,23/05/2014
Macropus giganteus,13/11/2015
Cochlearius cochlearius,21/04/2017
Nyctereutes procyonoides,14/05/2017
Cebus nigrivittatus,11/02/2021
Stercorarius longicausus,11/06/2015
Nyctereutes procyonoides,13/01/2018
Larus dominicanus,08/03/2015
Pitangus sulphuratus,05/03/2015
Trachyphonus vaillantii,06/08/2018
Haliaetus leucogaster,18/01/2018
Paraxerus cepapi,02/12/2018
Panthera tigris,26/10/2019
Platalea leucordia,17/04/2015
Psittacula krameri,07/12/2014
Colobus guerza,30/05/2018
Ovibos moschatus,18/03/2017
Libellula quadrimaculata,18/05/2020
Gekko gecko,31/08/2017
Phasianus colchicus,03/10/2019
Nasua nasua,05/06/2020
Morelia spilotes variegata,10/06/2014
Nyctanassa violacea,22/04/2019
Limnocorax flavirostra,04/11/2014
Litrocranius walleri,20/11/2014
Vanessa indica,23/09/2017
Pteropus rufus,18/10/2016
Ara chloroptera,20/09/2014
Tringa glareola,18/06/2016
Grus canadensis,01/09/2016
Bison bison,12/12/2018
Castor canadensis,16/08/2015
Phalacrocorax brasilianus,25/01/2016
Philetairus socius,20/02/2020
Bison bison,08/08/2019
Mungos mungo,10/09/2017
Columba livia,21/02/2016
Fulica cristata,29/01/2014
Trichoglossus haematodus moluccanus,05/11/2018
Neophron percnopterus,12/03/2014
Lycosa godeffroyi,20/08/2017
Coendou prehensilis,11/01/2016
Bubo sp.,27/04/2014
Tamandua tetradactyla,26/08/2013
Oryx gazella,09/06/2017
Equus hemionus,13/09/2020
Philetairus socius,05/04/2017
Columba palumbus,04/04/2020
Milvus migrans,24/11/2019
Spermophilus tridecemlineatus,15/11/2019
Castor fiber,13/01/2016
Hippopotamus amphibius,24/06/2013
Anthropoides paradisea,01/04/2014
Delphinus delphis,15/06/2020
Uraeginthus granatina,27/08/2017
Nyctereutes procyonoides,20/11/2014
Boa caninus,02/09/2020
Varanus sp.,10/11/2013
Chionis alba,22/08/2015
Bradypus tridactylus,29/07/2019
Zosterops pallidus,27/10/2013
Tachyglossus aculeatus,07/10/2014
Chlamydosaurus kingii,08/05/2014
Zonotrichia capensis,08/06/2017
Anastomus oscitans,21/04/2016
Ovis canadensis,05/02/2017
Perameles nasuta,10/11/2018
Neotis denhami,29/05/2014
Cacatua tenuirostris,23/04/2013
Sarcorhamphus papa,12/01/2015
Alopex lagopus,17/07/2014
Manouria emys,09/05/2020
Phascogale tapoatafa,30/12/2017
Colobus guerza,10/04/2017
Nannopterum harrisi,22/02/2020
Lutra canadensis,16/12/2019
Megaderma spasma,06/05/2014
Eumetopias jubatus,13/08/2020
Panthera leo persica,21/11/2018
Tachyglossus aculeatus,11/01/2018
Psophia viridis,17/05/2019
Taxidea taxus,27/04/2013
Buteo regalis,24/10/2013
Ninox superciliaris,26/05/2016
Cervus duvauceli,01/01/2014
Grus canadensis,14/04/2019
Actophilornis africanus,24/01/2015
Rhea americana,29/07/2017
Irania gutteralis,11/10/2016
Ploceus rubiginosus,17/06/2013
Crocuta crocuta,21/08/2016
Egretta thula,10/11/2015
Chlidonias leucopterus,18/03/2020
Amblyrhynchus cristatus,19/09/2020
Centrocercus urophasianus,27/12/2018
Motacilla aguimp,07/08/2014
Myiarchus tuberculifer,24/09/2014
Corallus hortulanus cooki,30/05/2017
Chauna torquata,25/06/2013
Leptoptilos crumeniferus,29/09/2016
Sterna paradisaea,11/12/2016
Dusicyon thous,03/04/2021
Coluber constrictor foxii,03/07/2019
Turtur chalcospilos,10/09/2019
Phylurus milli,17/06/2013
Francolinus swainsonii,23/02/2015
Caiman crocodilus,03/10/2020
Cercopithecus aethiops,13/06/2015
Diomedea irrorata,04/12/2014
Ovis musimon,07/05/2020
Elephas maximus bengalensis,24/08/2017
Felis caracal,23/09/2013
Lamprotornis nitens,08/05/2020
Lamprotornis sp.,13/04/2013
Mirounga leonina,28/07/2016
Pteropus rufus,24/02/2021
Tachybaptus ruficollis,20/02/2019
Stercorarius longicausus,19/01/2014
